id,idTienda,nombre,precio,categario,marca,peso,volumen,imagen
57,1,Salsa Old El Paso 312g guacamole suave para dippear,2.99,0.32,,OLD EL PASO,Snacks,https://www.ahorramas.com/salsa-old-el-paso-312g-guacamole-suave-para-dippear-44335.html
58,1,Hogaza candeal 310g,1.45,0.31,,,Pan de horno,https://www.ahorramas.com/hogaza-candeal-310g-34983.html
59,1,Copos de avena integrales Alipende 1kg suaves,1.75,1.0,,ALIPENDE,Cereales,https://www.ahorramas.com/copos-de-avena-integrales-alipende-1kg-suaves-74134.html
60,1,Snack Maíz Lays 3D´s 36g,0.99,0.04,,LAY'S,Snacks,https://www.ahorramas.com/snack-maiz-lays-3ds-36g-30160.html
61,1,Barquillo relleno crema vainilla s/azúcar Gullón 180g,1.6,0.18,,GULLON,Barquillos,https://www.ahorramas.com/barquillo-relleno-crema-vainilla-s-azucar-gullon-180g-74275.html
62,1,Hogaza pan The Rustik Bakery cereales masa madre 450g,2.49,0.4,,THE RUSTIK BAKERY,Pan de molde,https://www.ahorramas.com/hogaza-pan-the-rustik-bakery-cereales-masa-madre-450g-48387.html
63,1,Salsa fina Ligeresa 430ml bocabajo,2.25,0.43,,LIGERESA,Mayonesa,https://www.ahorramas.com/salsa-fina-ligeresa-430ml-bocabajo-71936.html
64,1,Snack Doritos Tex-Mex 44g,0.99,0.04,,DORITOS,Snacks,https://www.ahorramas.com/snack-doritos-tex-mex-44g-30303.html
65,1,Snack de patata cheetos 75g pandilla,1.79,0.07,,CHEETOS,Snacks,https://www.ahorramas.com/snack-de-patata-cheetos-75g-pandilla-72318.html
66,1,Bizcochito Milka Cake Choc crema pepitas chocolate 175g,2.8,0.17,,MILKA,Bizcochos y tartas,https://www.ahorramas.com/bizcochito-milka-cake-choc-crema-pepitas-chocolate-175g-4998.html
67,1,Tortitas maíz setas trufa y queso Bicentury 124g,2.19,0.12,,BICENTURY,,https://www.ahorramas.com/tortitas-maiz-setas-trufa-y-queso-bicentury-124g-15452.html
68,1,Caldo natural Aneto 1l cocido madrileño 100% natural,3.49,1.0,,ANETO,Sopas y caldos,https://www.ahorramas.com/caldo-natural-aneto-1l-cocido-madrileno-100-natural-81156.html
69,1,"Chocolate con leche, bizcocho y galleta Milka 300g",2.95,0.3,,MILKA,Tabletas,https://www.ahorramas.com/chocolate-con-leche-bizcocho-y-galleta-milka-300g-71995.html
70,1,Snack de patata Pringles 165g original,1.9,0.17,,PRINGLES,Patatas fritas,https://www.ahorramas.com/snack-de-patata-pringles-165g-original-47052.html
71,1,Café molido Marcilla 500g mezcla,5.99,0.5,,MARCILLA,Cafés,https://www.ahorramas.com/cafe-molido-marcilla-500g-mezcla-17475.html
72,1,Sofrito Gallina Blanca 350g con tomate y cebolla,2.25,0.35,,GALLINA BLANCA,Tomate,https://www.ahorramas.com/sofrito-gallina-blanca-350g-con-tomate-y-cebolla-78741.html
73,1,Salsa Old El Paso 300g mejicana para dippear,2.99,0.32,,OLD EL PASO,Snacks,https://www.ahorramas.com/salsa-old-el-paso-300g-mejicana-para-dippear-44336.html
74,1,Atún claro Ortiz 520g en escabeche,12.75,0.52,,ORTIZ,Atún,https://www.ahorramas.com/atun-claro-ortiz-520g-en-escabeche-81360.html
75,1,Pan de molde Bimbo 375g grande,1.35,0.38,,BIMBO,Pan de molde,https://www.ahorramas.com/pan-de-molde-bimbo-375g-grande-29705.html
76,1,Tila Pompadour 25u,2.15,0.03,,POMPADOUR,Infusiones,https://www.ahorramas.com/tila-pompadour-25u-142.html
77,1,Manzanilla Pompadour 25u con anís,2.15,0.03,,POMPADOUR,Infusiones,https://www.ahorramas.com/manzanilla-pompadour-25u-con-anis-2169.html
78,1,Tortilla de patata con cebolla caramelizada Palacios 600g,4.45,0.6,,PALACIOS,"Tortillas de patata, bravas y croquetas",https://www.ahorramas.com/tortilla-de-patata-con-cebolla-caramelizada-palacios-600g-61061.html
79,1,Aceite de oliva virgen extra Maestros de Hojiblanca ODA nº 5,4.69,0.5,,HOJIBLANCA,Aceites,https://www.ahorramas.com/aceite-de-oliva-virgen-extra-maestros-de-hojiblanca-oda-n-5-53727.html
80,1,Galleta sin azúcar añadido zero Gullón 125g chips choco,1.6,0.13,,GULLON,Galletas,https://www.ahorramas.com/galleta-sin-azucar-anadido-zero-gullon-125g-chips-choco-60226.html
81,1,Pasta fresca ravioli relleno de calabaza Rana 250g,3.05,0.25,,RANA,"Arroz, pasta, noodles",https://www.ahorramas.com/pasta-fresca-ravioli-relleno-de-calabaza-rana-250g-17484.html
82,1,Chocolate con Oreo mmmax Milka 300g,3.19,0.3,,MILKA,Tabletas,https://www.ahorramas.com/chocolate-con-oreo-mmmax-milka-300g-37682.html
83,1,Galleta mini cacao sin lactosa sin huevo Gullón 250g,1.45,0.25,,GULLON,Galletas,https://www.ahorramas.com/galleta-mini-cacao-sin-lactosa-sin-huevo-gullon-250g-83242.html
84,1,Galleta sin azúcar añadido zero Gullón 170g fibra,1.6,0.17,,GULLON,Galletas,https://www.ahorramas.com/galleta-sin-azucar-anadido-zero-gullon-170g-fibra-60282.html
85,1,Fettuccine Gallo 450g a las espinacas,1.86,0.45,,GALLO,Pasta,https://www.ahorramas.com/fettuccine-gallo-450g-a-las-espinacas-42988.html
86,1,Cereal de trigo inflado kellogg's 450g Smacks,2.75,0.45,,SMACKS,Cereales,https://www.ahorramas.com/cereal-de-trigo-inflado-kelloggs-450g-smacks-11342.html
87,1,Barritas cereales chocolate Corny 6 unidades,1.99,0.12,,CORNY,Barritas de cereales,https://www.ahorramas.com/barritas-cereales-chocolate-corny-6-unidades-4664.html
88,1,Pasta fresca tortellini gourmet 4 quesos Rana 250g,2.59,0.25,,RANA,"Arroz, pasta, noodles",https://www.ahorramas.com/pasta-fresca-tortellini-gourmet-4-quesos-rana-250g-37668.html
89,1,Tosta para canapé Recondo 110g redonda,1.99,0.11,,RECONDO,Pan tostado y Biscotes,https://www.ahorramas.com/tosta-para-canape-recondo-110g-redonda-57438.html
90,1,Galleta Lotus 250g biscoff caramelised,1.79,0.25,,LOTUS,,https://www.ahorramas.com/galleta-lotus-250g-biscoff-caramelised-83117.html
91,1,Pasta fresca tortellini atún y tomate Rana 250g,2.59,0.25,,RANA,"Arroz, pasta, noodles",https://www.ahorramas.com/pasta-fresca-tortellini-atun-y-tomate-rana-250g-17480.html
92,1,Caldo casero Gallina Blanca 1l verduras 100% natural,2.2,1.01,,GALLINA BLANCA,Sopas y caldos,https://www.ahorramas.com/caldo-casero-gallina-blanca-1l-verduras-100-natural-3496.html
93,1,Tallarines deshidratados parmesana Gallina Blanca 143g,2.49,0.14,,GALLINA BLANCA,"Arroz, pasta, noodles",https://www.ahorramas.com/tallarines-deshidratados-parmesana-gallina-blanca-143g-4859.html
94,1,Café soluble descafeinado con magnesio Nescafé 200g,5.5,0.2,,NESCAFE,Cafés,https://www.ahorramas.com/cafe-soluble-descafeinado-con-magnesio-nescafe-200g-46210.html
95,1,Café espresso barista L'Or 10 cápsulas,3.95,0.05,,L'OR,Cafés,https://www.ahorramas.com/cafe-espresso-barista-lor-10-capsulas-46129.html
96,1,Almejones Galica 63g natural,1.15,0.06,,GALICA,Otras conservas de pescado,https://www.ahorramas.com/almejones-galica-63g-natural-50089.html
97,1,Galleta 0% sin azúcar añadido Cuétara 400g campurriana,2.99,0.4,,CAMPURRIANAS,Galletas,https://www.ahorramas.com/galleta-0-sin-azucar-anadido-cuetara-400g-campurriana-44538.html
98,1,Arroz largo Brillante pack 2 xl,2.15,0.4,,BRILLANTE,Arroz Precocinado,https://www.ahorramas.com/arroz-largo-brillante-pack-2-xl-23414.html
99,1,Snack Cheetos Pelotazos 40g,0.99,0.04,,CHEETOS,Snacks,https://www.ahorramas.com/snack-cheetos-pelotazos-40g-64096.html
100,1,Harina de maíz sin gluten Maizena 400g fina,2.49,0.4,,MAIZENA,Harina,https://www.ahorramas.com/harina-de-maiz-sin-gluten-maizena-400g-fina-158.html
101,1,Aceite de orujo 3 aceitunas Cexac 1l,3.49,0.92,,CEXAC,Aceites,https://www.ahorramas.com/aceite-de-orujo-3-aceitunas-cexac-1l-61029.html
102,1,Galleta rellena chocolate sin azúcar zero Gullón 250g,1.6,0.25,,GULLON,Galletas,https://www.ahorramas.com/galleta-rellena-chocolate-sin-azucar-zero-gullon-250g-74277.html
103,1,Atún claro Albo pack3 aceite oliva,4.99,0.2,,ALBO,Atún,https://www.ahorramas.com/atun-claro-albo-pack3-aceite-oliva-13993.html
104,1,Avena cocida Brillante 125G p2,1.35,0.25,,BRILLANTE,"Especialidades, quinoa, chía y semillas",https://www.ahorramas.com/avena-cocida-brillante-125g-p2-32506.html
105,1,Empanada gallega de carne 500g,3.15,0.5,,LAMASTELLE,Empanadas,https://www.ahorramas.com/empanada-gallega-de-carne-500g-13616.html
106,1,Cacao puro en polvo sin azúcar añadido Valor 250g,3.39,0.25,,VALOR,Cacao,https://www.ahorramas.com/cacao-puro-en-polvo-sin-azucar-anadido-valor-250g-16857.html
107,1,Chocolate negro 70% de cacao s/gluten Valor 125g,1.69,0.13,,VALOR,Tabletas,https://www.ahorramas.com/chocolate-negro-70-de-cacao-s-gluten-valor-125g-38486.html
108,1,Boqueron Usisa 84g en aceite oliva,1.79,0.08,,USISA,Otras conservas de pescado,https://www.ahorramas.com/boqueron-usisa-84g-en-aceite-oliva-73808.html
109,1,Cacao soluble Nesquik 0% 320g,2.85,0.32,,NESQUIK,Cacao,https://www.ahorramas.com/cacao-soluble-nesquik-0-320g-64998.html
110,1,Aceite de oliva Abril 2l intenso,9.98,2.0,,ABRIL,Aceites,https://www.ahorramas.com/aceite-de-oliva-abril-2l-intenso-25107.html
111,1,Tomate frito estilo casero Solís 350g P2,1.99,0.7,,SOLIS,Tomate,https://www.ahorramas.com/tomate-frito-estilo-casero-solis-350g-p2-60404.html
112,1,Chocolate negro postres Nestlé 200g,2.25,0.2,,NESTLE,Tabletas,https://www.ahorramas.com/chocolate-negro-postres-nestle-200g-45062.html
113,1,Bombón láminas After Eight 200g,2.79,0.2,,AFTER EIGHT,Bombones,https://www.ahorramas.com/bombon-laminas-after-eight-200g-67537.html
114,1,Placas de lasaña El Pavo 18unid,1.43,0.2,,EL PAVO,Pasta,https://www.ahorramas.com/placas-de-lasana-el-pavo-18unid-46376.html
115,1,Cereales classic Special K 335g,1.85,0.34,,SPECIAL K,Cereales,https://www.ahorramas.com/cereales-classic-special-k-335g-67395.html
116,1,Mermelada fresas extra de temporada Hero 350g,2.99,0.35,,HERO,Mermelada,https://www.ahorramas.com/mermelada-fresas-extra-de-temporada-hero-350g-13959.html
