id,idTienda,nombre,precio,categario,marca,peso,volumen,imagen
45,2,Salmón ahumado ecológico Carrefour Bio 85 g.,4.49,0.85,," CENTROS COMERCIALES CARREFOUR, S.A.",,assets/imageproductonoencontrada.jpg
46,2,Burgermeat de Vacuno Master Lomo Carrefour El Mercado 2x180 g,3.95,0.36,," Centros Comerciales Carrefour, S.A.",,assets/imageproductonoencontrada.jpg
47,2,Coliflor floretes Carrefour 500 g,1.53,,,,,assets/imageproductonoencontrada.jpg
48,2,Bollo de petitas chocolate con leche Weikis La Bella Easo 6 ud.,2.59,0.24,, Bakery Donuts Iberia,,assets/imageproductonoencontrada.jpg
49,2,Lomos de merluza congelados Pescanova 360 g.,7.45,0.36,, Pescanova España S.L.U,,assets/imageproductonoencontrada.jpg
50,2,Paté de hígado de cerdo Tapa Negra La Piara pack de 6 unidades de 75 g.,6.65,0.45,, Piara,,assets/imageproductonoencontrada.jpg
51,2,Mortadela de Pollo Campera sin gluten y sin lactosa 850 g,3.4,0.85,, Sierra Mágina S.A.,,assets/imageproductonoencontrada.jpg
52,2,Ajo ecológico Carrefour Bio 3 uds,1.46,,,,,assets/imageproductonoencontrada.jpg
53,2,Pimiento ecológico Carrefour Bio 400 g,2.29,,,,,assets/imageproductonoencontrada.jpg
54,2,Cilantro manojo de 100 g,1.39,,,,,assets/imageproductonoencontrada.jpg
55,2,Queso rallado 4 Quesos Président 150 g.,2.89,0.15,, Lactalis Forlasa S.L.U.,,assets/imageproductonoencontrada.jpg
56,2,Queso de cabra en medallones Président 200 g.,3.49,0.2,, Lactalis Forlasa S.L.U.,,assets/imageproductonoencontrada.jpg
57,2,Jamón de cebo ibérico 50% Raza Ibérica en medias lonchas Carrefour 100 g,4.75,0.1,, Centros Comerciales Carrefour S.A.,,assets/imageproductonoencontrada.jpg
58,2,Chorizo casero extra sarta Palacios 250 g.,4.15,0.25,, Palacios Alimentación,,assets/imageproductonoencontrada.jpg
59,2,Baguette Carrefour 1 ud,0.56,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/262274_00_1.jpg
60,2,Lasaña boloñesa Carrefour 350 g,3.3,0.35,, Centros Comerciales Carrefour S.A.,,https://static.carrefour.es/hd_350x_/img_pim_food/274162_00_1.jpg
61,2,Pollo certificado limpio Carrefour 2 kg,8.98,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/887242_00_1.jpg
62,2,Patata trumferoles Potatum 3 Kg,3.89,,,,,https://static.carrefour.es/hd_350x_/img_pim_food/036549_00_1.jpg
